participant_id,date,age,gender,condition_order,score_black,score_video
P001,2026-03-27,20n,Female,VIDEO_FIRST,12,10
P002,2026-03-27,18,Female,VIDEO_FIRST,11,11
P003,2026-03-27,18,Female,BLACK_FIRST,17,16
P004,2026-03-27,18,Male,VIDEO_FIRST,20,20
P005,2026-03-27,17,Prefer not to say,BLACK_FIRST,13,9
P006,2026-03-27,18,Female,VIDEO_FIRST,20,19
P007,2026-03-27,18,Male,VIDEO_FIRST,14,14
P008,2026-03-27,19,Female,BLACK_FIRST,17,16
P009,2026-03-31,18,Male,BLACK_FIRST,18,13
P010,2026-04-10,19,Female,BLACK_FIRST,17,11
P011,2026-04-10,18,Male,VIDEO_FIRST,7,5
P012,2026-04-10,18,Female,BLACK_FIRST,15,17
P013,2026-04-10,18,Female,VIDEO_FIRST,18,12
P014,2026-04-10,19,Female,BLACK_FIRST,17,15
P015,2026-04-10,17,Female,VIDEO_FIRST,18,14
P016,2026-04-10,18,Female,BLACK_FIRST,9,7
P017,2026-04-10,19,Female,VIDEO_FIRST,17,18
P018,2026-04-10,19,Male,BLACK_FIRST,11,17
P019,2026-04-10,18,Male,BLACK_FIRST,14,11
P020,2026-04-10,18,Female,VIDEO_FIRST,15,10
P021,2026-04-16,18,Female,VIDEO_FIRST,17,16
P022,2026-04-16,18,Non-Binary,VIDEO_FIRST,19,18
P023,2026-04-16,19,Male,BLACK_FIRST,16,12
P024,2026-04-16,17,Female,BLACK_FIRST,13,9
P025,2026-04-16,17,Female,BLACK_FIRST,15,9
P026,2026-04-16,19,Female,BLACK_FIRST,10,13
P027,2026-04-16,20,Non-Binary,BLACK_FIRST,18,16
P028,2026-04-16,19,Male,BLACK_FIRST,16,8
P029,2026-04-16,17,Male,VIDEO_FIRST,14,12
P030,2026-04-16,18,Male,BLACK_FIRST,9,13
