question,option1,option2,option3,option4,correct
"What time did Bruno come home from work?","6:30pm","5:30pm","7:00pm","8:00pm","1"
"What was Bruno's job?","Logistics coordinator","Car company administration","Customer support agent","Insurance clerk","2"
"How many emails did Bruno send today?","5","12","10","15","3"
"How many online meetings did he have?","1","4","3","2","4"
"Where did Bruno place his keys?","In a ceramic bowl","On a key hook by the door","In a tray on the hallway table","In his coat pocket","1"
"What color was the bowl?","Red with a faded blue stripe","Blue with a faded green stripe","White with a faded green stripe","Black","2"
"What did Bruno wear after changing out of his suit?","A gray T-shirt and shorts","A bathrobe","Gray button-down pajamas","Workout clothes","3"
"How long was Bruno's shower?","5 minutes","20 minutes","15 minutes","10 minutes","4"
"What did he cook for dinner?","Chicken breast with rice and beans","Chicken breast with rice and carrots","Grilled fish with rice and beans","Chicken pasta with vegetables","1"
"What drink did he have with dinner?","Juice","Water","Soda","Milk","2"
"What time did Bruno go to bed?","8:00pm","9:00pm","8:30pm","9:30pm","3"
"What did Bruno read in bed?","Nothing","The newspaper","A magazine","A book","4"
"How did Bruno position himself in bed?","On his back, arms by his sides","On his back, hands on his chest","On his side with knees bent","On his stomach with one arm tucked in","1"
"What did Bruno pretend to be in bed?","A tree","A corpse","A statue","A cloud","2"
"How long did he read before sleeping?","30 minutes","2 hours","1 hour","10 minutes","3"
"What was unusual about today?","It rained","He overslept","He had a meeting","It was his birthday","4"
"What color were Bruno's pajamas?","Gray","Blue","Black","White","1"
"How many pillows did Bruno use?","Two","One","Three","None","2"
"What did Bruno do after dinner?","Watch TV","Go out","Wash dishes","Take a nap","3"
"What was Bruno's attitude towards his dinner?","Satisfied and happy","Disgusted by it","Eager and excited","Indifferent","4"
